n,code,strength,name,businessId,seq,capability,datascope,database
(:MarketingTreeDemo1 ,rules_system_create_active,strength: 1,name: 规则与系统构建-新增活动,businessId: 133,seq: 1}),"具体创建裂变活动,具体包括”负责营销活动中从创建到上线的全流程规则配置，包括活动基本信息、时间范围、状态控制及基础业务规则的设定。",管理活动的唯一标识、名称、类型、起止时间、当前状态、规则配置（如参与条件）以及创建人ID等核心字段。,eqiai_wecom.crm_active_info
(:MarketingTreeDemo1 ,rules_system_create_active_center,strength: 1,name: 规则与系统构建-新增活动中心,businessId: 134,seq: 1}),"具体创建活动中心,具体包括”为活动中心配置各类具体活动的设定。",管理活动中心ID、所用关联的活动列表及创建时间等元数据。,eqiai_wecom.crm_active_center
(:MarketingTreeDemo1 ,private_domain,strength: 0.8,name: 私域营销,businessId: 17,seq: 5}),"企业微信/社群/小程序等私域渠道用户运营、私域流量转化策略“,具体包括”通过企业微信、微信群、小程序等私域触点进行用户精细化运营，设计并执行用户留存与转化策略。","管理用户唯一ID、企微ID、所属社群ID、用户标签集合、最近互动时间、当前转化状态（如未触达/意向/成交）及来源渠道。包括：user_id, wechat_id, group_id, tag_list, last_contact_time, conversion_status, channel_source",
(:MarketingTreeDemo1 ,fission_activity,strength: 0.8,name: 裂变活动策划*,businessId: 34,seq: 1}),"裂变类营销活动整体方案设计、目标人群定位、传播路径规划“,具体包括”从0到1策划裂变营销活动，明确目标用户、传播机制、预期效果及资源投入，输出完整活动方案。",管理活动方案ID、目标人群描述、推荐/邀请路径设计、预期独立访客数、核心KPI目标、预算金额及策划人ID。,
(:MarketingTreeDemo1 ,fission_implement,strength: 0.8,name: 裂变实施,businessId: 36,seq: 3}),"裂变活动上线执行、渠道投放、用户参与引导、异常监控“,具体包括”负责裂变活动的实际落地执行，包括上线部署、多渠道投放、用户引导及实时监控异常情况。","记录执行日志ID、投放渠道ID、参与人数、分享次数、错误日志、操作人ID及实时指标（如转化率、跳出率）。包括：execution_log_id, channel_id, participant_count, share_count, error_log, operator_id, real_time_metrics",
(:MarketingTreeDemo1 ,fission_mech_design,strength: 0.8,name: 裂变机制设计*,businessId: 37,seq: 4}),"邀请奖励规则、层级关系判定、裂变链路逻辑设计“,具体包括”设计裂变的核心激励与传播逻辑，包括谁邀请谁、奖励如何发放、层级如何计算等规则体系。","管理机制ID、奖励规则（如邀请1人得5元）、被邀请人层级、邀请人ID、奖励类型（现金/券/积分）、触发门槛及有效期。包括：mechanism_id, reward_rule, invitee_level, inviter_id, reward_type, threshold, validity_period",
(:MarketingTreeDemo1 ,user_strat_fission,strength: 0.8,name: 用户分层裂变设计,businessId: 47,seq: 5}),"基于用户价值/行为的分层裂变策略制定（如高净值用户专属裂变）“,具体包括”针对不同价值或行为特征的用户群体，设计差异化的裂变策略，提升高潜力用户的传播效率。","管理用户分群名称、分群ID、对应裂变策略描述、预期投资回报率及该群体的历史转化率。包括：user_segment, segment_id, fission_strategy, expected_roi, conversion_rate_by_segment",
(:MarketingTreeDemo1 ,activity_creative,strength: 0.8,name: 活动创意与立项,businessId: 50,seq: 1}),"营销活动创意构思、主题包装、立项文档撰写与评审“,具体包括”负责活动的创意发想、主题命名、视觉调性建议，并输出立项文档供跨部门评审。","管理创意方案ID、活动主题、宣传口号、视觉风格指引、立项文档链接、审批人ID及立项时间（建议统一为英文字段如 proposal_time）。包括：creative_id, theme, slogan, visual_direction, proposal_doc_url, approver_id, 立项时间",
(:MarketingTreeDemo1 ,def_planning,strength: 0.8,name: 定义与规划,businessId: 65,seq: 1}),"营销目标拆解、资源需求评估、项目时间线规划“,具体包括”将高层目标拆解为可执行的营销任务，评估所需人力、预算、技术资源，并制定详细项目计划。","管理项目ID、核心目标描述、整体时间线、资源分配计划、相关干系人列表及关键里程碑日期。包括：project_id, objective, timeline, resource_plan, stakeholder_list, milestone_dates",
(:MarketingTreeDemo1 ,fission_user_portrait,strength: 0.8,name: 裂变用户分层与画像定义,businessId: 69,seq: 1}),"构建裂变场景下的用户标签体系与分层画像模型“,具体包括”围绕裂变行为（如是否愿意分享、是否有社交影响力）构建专用用户画像和标签体系。","管理用户ID、裂变相关标签（如‘爱分享’‘高影响力’）、行为评分、推荐潜力值、用户生命周期价值、偏好活动类型及画像版本号。包括：user_id, tags, behavior_score, referral_potential, ltv, activity_preference, portrait_version",
(:MarketingTreeDemo1 ,mech_game_design,strength: 0.8,name: 机制与玩法设计,businessId: 77,seq: 2}),"互动玩法（如抽奖、拼团、助力）规则与激励机制设计“,具体包括”设计具体互动游戏的参与规则、胜负判定、奖励发放逻辑，确保玩法有趣且可执行。","管理游戏ID、玩法类型（如砍价/抽奖）、参与条件、中奖概率、奖池配置及用户冷却时间（防刷）。包括：game_id, game_type, participation_rule, win_probability, reward_pool, cooldown_time",
(:MarketingTreeDemo1 ,rules_system,strength: 0.8,name: 规则与系统构建,businessId: 85,seq: 1}),"营销活动通用规则引擎搭建、风控策略配置、系统对接规范“,具体包括”搭建可复用的营销规则引擎，支持活动规则灵活配置，并集成风控与外部系统对接能力。","管理规则引擎ID、规则类型（如资格校验/奖励触发）、条件表达式、执行动作、对接的外部API列表及是否启用风控标识。包括：rule_engine_id, rule_type, condition_expr, action, system_api_list, risk_control_flag",
(:MarketingTreeDemo1 ,strat_fission_strat,strength: 0.8,name: 分层裂变策略设计,businessId: 90,seq: 2}),"针对不同用户群体制定差异化裂变路径与激励策略“,具体包括”为不同用户层级（如新客、活跃用户、KOC）设计专属的裂变路径和激励组合，提升整体传播效率。","管理策略ID、用户层级（如T1/T2/T3）、激励方案详情、匹配的触达渠道及预期分享率。包括：strategy_id, user_tier, incentive_plan, channel_mapping, expected_share_rate",
(:MarketingTreeDemo1 ,comm_scripts,strength: 0.8,name: 定制沟通话术与素材,businessId: 96,seq: 1}),"私域/客服/推送场景下的个性化话术与视觉素材制作“,具体包括”根据用户分层和场景，制作精准的沟通话术（如欢迎语、催促话术）及配套图片/视频素材。","管理话术ID、使用场景（如入群/流失召回）、目标用户分群、消息模板、配图/语音链接及A/B测试分组。包括：script_id, scene_type, user_segment, message_template, image_url, voice_url, a/b_test_group",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,copy_planning,strength: 0.8,name: 文案策划,businessId: 99,seq: 2}),"活动主文案、传播文案、落地页文案等内容策划“,具体包括”撰写各类营销文案，包括活动主标题、社交媒体传播语、落地页正文等，传递核心价值点。","管理文案ID、文案类型（如主KV/朋友圈文案）、标题、正文内容、行动号召语、品牌语调要求及审核状态。包括：copy_id, copy_type, headline, body_text, call_to_action, brand_tone, review_status",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,fission_game_match,strength: 0.8,name: 匹配裂变玩法,businessId: 105,seq: 3}),"根据用户特征与业务目标匹配最优裂变游戏机制（如砍价 vs 邀请）“,具体包括”基于用户画像和活动目标，智能推荐最适合的裂变玩法，提升参与意愿和传播效果。","管理匹配记录ID、用户画像摘要、推荐的玩法名称、推荐置信度及该玩法历史表现数据。包括：match_id, user_profile, recommended_game, confidence_score, historical_performance",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,gameplay_mode,strength: 0.8,name: 玩法模式选择,businessId: 108,seq: 1}),"从预设玩法库中选择适合当前活动的互动模式“,具体包括”从标准化玩法库（如助力、拼团、打卡）中挑选与活动目标最匹配的互动形式。","管理玩法模式ID、名称、适配评分、所需资源（如奖品库存）、技术依赖（如是否需对接支付）。包括：mode_id, mode_name, suitability_score, required_resources, tech_dependency",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,goal_setting,strength: 0.8,name: 目标设定,businessId: 109,seq: 1}),"设定裂变活动的核心KPI（如新增用户数、分享率、转化率）“,具体包括”明确活动要达成的关键结果指标，并设定可衡量的目标值和考核周期。","管理目标ID、指标名称（如‘邀请人数’）、目标值、历史基线值、统计时间窗口及负责人ID。包括：goal_id, metric_name, target_value, baseline, time_window, owner_id",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,incentive_system,strength: 0.8,name: 激励体系设计,businessId: 112,seq: 2}),"设计统一的奖励体系（现金、积分、权益等）及发放规则“,具体包括”构建标准化的激励框架，定义奖励类型、发放条件、额度控制及发放方式，确保公平与合规。","管理激励方案ID、奖励类型（如优惠券/现金红包）、金额或数量、触发条件、有效期及发放渠道（如微信卡包/账户余额）。包括：incentive_id, reward_type, amount, condition, validity, distribution_channel",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,strat_incentives,strength: 0.8,name: 设计分层激励,businessId: 126,seq: 4}),"针对不同用户层级（如新客/老客/KOC）设计差异化激励方案“,具体包括”为不同价值用户设计阶梯式或定制化激励，例如KOC获得更高佣金，新客获得首单礼包。","管理层级ID、用户层级名称（如‘KOC’）、激励配置详情、单用户最高奖励上限及单位时间参与次数限制。包括：tier_id, user_tier, incentive_config, max_reward, frequency_limit",eqiai_agent.agent_global_key
(:MarketingTreeDemo1 ,strat_portraits,strength: 0.8,name: 绘制分层画像,businessId: 127,seq: 2}),"基于行为、属性、价值等维度构建用户分层画像“,具体包括”综合用户基础属性、行为数据和商业价值，划分用户群体并输出结构化画像，用于精准营销。","管理画像ID、分群名称（如‘高价值沉默用户’）、群体人数、平均生命周期价值、互动活跃度评分及关键行为特征（如‘常浏览未下单’）。包括：portrait_id, segment_name, user_count, avg_ltv, engagement_score, key_behaviors",eqiai_wecom.crm_customer_info
